Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,38140
,,,,,,
,,,,,,
15.10.2025,,,,,,
"80,75",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,30,30,30,30,,4200
сгибания,59,59,59,59,,
,19,19,19,19,,4484
голени 2,80,80,80,80,,
,30,30,30,30,,9600
разгибания,59,59,59,59,,
,19,19,19,19,,4484
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
Жим 2мя ногами,175,175,175,175,,
,12,12,12,12,,8400
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,38416
,,,,,,
22.10.2025,,,,,,
"80,80",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,30,30,30,30,,4200
сгибания,59,59,59,59,,
,20,20,20,20,,4720
голени 2,80,80,80,80,,
,30,30,30,30,,9600
разгибания,59,59,59,59,,
,20,20,20,20,,4720
Жим одной ногой,70,70,70,70,,
,13,13,13,13,,3640
Жим 2мя ногами,175,175,175,175,,
,13,13,13,13,,9100
Подтягивания ,81,81,81,81,,
,13,13,13,13,,4212
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,40868
,,,,,,
,,,,,,
05.11.2025,,,,,,
"82,0",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,25,25,25,25,,3500
сгибания,59,59,59,59,,
,18,18,18,18,,4248
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
Жим 2мя ногами,175,175,175,175,,
,12,12,12,12,,8400
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
