Жим от груди,56.5,56.5,56.5,56.5,,
,13,13,13,13,,2938
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25200.8
,,,,,,
,,,,,,
19.7.2025,,,,,,
"79, 8",1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,12,12,12,14,,3250
Тяга к подбородку,28,28,28,28,,
,13,13,13,13,,1456
Рычажный жим,45,45,45,45,,
,12,12,12,12,,2160
Гантели развод,10,10,10,10,,
,13,13,13,13,,520
Жим от груди,50,50,50,50,,
,12,12,12,12,,2400
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,12,12,12,12,,2496
обратная бабочка,42,42,42,42,,
,13,13,13,13,,2184
Разгибания из-за головы Триц,18,18,18,18,,
,13,13,13,13,,936
штанга биц,20,20,20,20,,
,13,13,13,13,,1040
блок триц,25,25,25,25,,
,12,12,12,12,,1200
Молот,8,8,8,8,,
,30,30,30,30,,960
,,,,,,19278.8
,,,,,,
,,,,,,
29.8.2025,,,,,,
"79,9",1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,12,12,12,14,,3250
Тяга к подбородку,28,28,28,28,,
,13,13,13,13,,1456
Рычажный жим,45,45,45,45,6,
,12,12,12,12,,2160
Гантели развод,10,10,10,10,#VALUE!,
,13,13,13,13,,520
Жим от груди,50,50,50,50,#VALUE!,
,12,12,12,12,,2400
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,#VALUE!,
,18,18,18,18,,676.8
бабочка,52,52,52,52,#VALUE!,
,12,12,12,12,,2496
обратная бабочка,42,42,42,42,#VALUE!,
,13,13,13,13,,2184
Разгибания из-за головы Триц,18,18,18,18,#VALUE!,
,13,13,13,13,,936
штанга биц,20,20,20,20,#VALUE!,
