28.10.2024,,,,,,,
,,,,,,18772,
,,,,,,,
,,,,,,,
10.03.2025,,,,,,,
77.25,1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,15,15,15,15,,3420,
Тяга к подбородку,24.5,24.5,24.5,24.5,,,
,15,15,15,15,,1470,
Фронтальная Тяга,45,45,45,45,,,
,15,15,15,15,,2700,
Гантели развод,8,8,8,8,,,
,15,15,15,15,,480,
Нижний блок,47,47,47,47,,,
,15,15,15,15,,2820,
Обр бабочка,42.5,42.5,42.5,42.5,,,
,15,15,15,15,,2550,
Разгибания из-за головы Триц,21,21,21,21,,,
,15,15,15,15,,1260,
штанга биц,22,22,22,22,,,
,15,15,15,15,,1320,
блок триц,27.5,27.5,27.5,27.5,,,
,15,15,15,15,,1650,
тренажер биц,48.5,48.5,48.5,48.5,,,
,15,15,15,15,,2910,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
,,,,,,20700,
,,,,,,,
,,,,,,,
17.03.2025,,,,,,,
76.25,1,2,3,4,5,6,
Верхний блок,60,60,60,60,,,
,12,12,12,12,,2880,
Тяга к подбородку,24.5,24.5,24.5,24.5,,,
,17,17,17,17,,1666,
Фронтальная Тяга,50,50,50,50,,,
,12,12,12,12,,2400,
Гантели развод,8,8,8,8,,,
,17,17,17,17,,544,
Нижний блок,50,50,50,50,,,
,12,12,12,12,,2400,
Обр бабочка,42.5,42.5,42.5,42.5,,,
,17,17,17,17,,2890,
Разгибания из-за головы Триц,21,21,21,21,,,
,17,17,17,17,,1428,
штанга биц,22,22,22,22,,,
,17,17,17,17,,1496,
блок триц,27.5,27.5,27.5,27.5,,,
,17,17,17,17,,1870,
тренажер биц,48.5,48.5,48.5,48.5,,,
,17,17,17,17,,3298,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
,,,,,,20992,
,,,,,,,
,,,,,,,
24.03.2025,,,,,,,
77.2,1,2,3,4,5,6,
Верхний блок,59.5,59.5,59.5,59.5,,,
,13,13,13,13,,3094,
Тяга к подбородку,28,28,28,28,,,
,12,12,12,12,,1344,
Фронтальная Тяга,50,50,50,50,,,
,13,13,13,13,,2600,
Гантели развод,9,9,9,9,,,
,12,12,12,12,,432,
Нижний блок,50.5,50.5,50.5,50.5,,,
,13,13,13,13,,2626,
Обр бабочка,45,45,45,45,,,
,12,12,12,12,,2160,
Разгибания из-за головы Триц,22,22,22,22,,,
,12,12,12,12,,1056,
штанга биц,25,25,25,25,,,
,12,12,12,12,,1200,
блок триц,28.5,27.1,27.1,27.1,,,
,12,12,12,12,,29.9,
Ганткли молот,9,9,9,9,,,
,12,12,12,12,,432,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
,,,,,,16432,
,,,,,,,
07.04.2025,,,,,,,
77.2,1,2,3,4,5,6,
Верхний блок,59.5,59.5,59.5,59.5,,,
,13,13,13,13,,3094,
Тяга к подбородку,28,28,28,28,,,
,14,14,14,14,,1568,
Фронтальная Тяга,50,50,50,50,,,
,13,13,13,13,,2600,
Гантели развод,9,9,9,9,,,
,14,14,14,14,,504,
Нижний блок,50.5,50.5,50.5,50.5,,,
,13,13,13,13,,2626,
Обр бабочка,45,45,45,45,,,
,14,14,14,14,,2520,
Разгибания из-за головы Триц,21,21,21,21,,,
,14,14,14,14,,1176,
штанга биц,25,25,25,25,,,
,14,14,14,14,,1400,
блок триц,28.5,27.1,27.1,27.1,,,
,14,14,14,14,,14.5,
Ганткли молот,9,9,9,9,,,
,12,12,12,12,,432,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
,,,,,,17636,
,,,,,,,
,,,,,,,
,,,,,,,
28.05.2025,,,,,,,
78.15,1,2,3,4,5,6,
Верхний блок,59.5,59.5,59.5,59.5,,,
,13,13,13,13,,3094,
Тяга к подбородку,32,32,32,32,,,
,12,12,12,12,,1536,
Фронтальная Тяга,55,55,55,55,,,
,13,13,13,13,,2860,
Гантели развод,10,10,10,10,,,
,13,13,13,13,,520,
Нижний блок,60.5,60.5,60.5,60.5,,,
,13,13,13,13,,3146,
Обр бабочка,45,45,45,45,,,
,14,14,14,14,,2520,
Разгибания из-за головы Триц,21,21,21,21,,,
,16,16,16,16,,1344,
штанга биц,22.5,22.5,22.5,22.5,,,
,16,16,16,16,,1440,
блок триц,28.5,27.1,27.1,27.1,,,
,14,14,14,14,,14.5,
тренажер биц,48.5,48.5,48.5,48.5,,,
,14,14,14,14,,2716,
Пресс низ +колесо,1,1,1,1,,,
,30,30,30,30,,120,
,,,,,,20892,
,,,,,,,
,,,,,,,
02.06.2025,,,,,,,
78.55,1,2,3,4,5,6,
Верхний блок,59.5,59.5,59.5,59.5,,,
,13,13,13,13,,3094,
Тяга к подбородку,31.5,31.5,31.5,31.5,,,
,14,14,14,14,,1764,
Фронтальная Тяга,55,55,55,55,,,
,13,13,13,13,,2860,
Гантели развод,10,10,10,10,,,
,13,13,13,13,,520,
Нижний блок,60.5,60.5,60.5,60.5,,,
,13,13,13,13,,3146,
Обр бабочка,45,45,45,45,,,
,14,14,14,14,,2520,
Разгибания из-за головы Триц,21,21,21,21,,,
,16,16,16,16,,1344,
штанга биц,22.5,22.5,22.5,22.5,,,
,16,16,16,16,,1440,
блок триц,28.5,27.1,27.1,27.1,,,
,14,14,14,14,,14.5,
тренажер биц,48.5,48.5,48.5,48.5,,,
,14,14,14,14,,2716,
